epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,251.045,1.67771,2.58455,1.52859,0.4862,0.24375,0.25201,0.12945,1.60499,3.07765,1.40916,0.00058,0.00058,0.00058
2,494.382,1.59026,2.0282,1.44958,0.39359,0.14242,0.15468,0.06985,1.92722,3.13748,1.88199,0.00114106,0.00114106,0.00114106
3,739.29,1.57315,1.87499,1.41926,0.08459,0.29697,0.05679,0.02599,1.8833,2.76524,1.78074,0.00166252,0.00166252,0.00166252
4,990.405,1.58213,1.83202,1.49549,0.3161,0.31515,0.2332,0.10416,1.95854,3.88287,1.89893,0.001802,0.001802,0.001802
5,1235.36,1.52089,1.70665,1.45328,0.26138,0.22727,0.14757,0.05833,2.01057,2.65811,1.93468,0.001736,0.001736,0.001736
6,1478.85,1.5256,1.59872,1.40962,0.30485,0.34242,0.23378,0.09709,1.92717,2.51459,1.76537,0.00167,0.00167,0.00167
7,1728.93,1.50803,1.57707,1.43342,0.58004,0.47879,0.48344,0.2599,1.68101,1.81007,1.57628,0.001604,0.001604,0.001604
8,1966.96,1.49343,1.531,1.36732,0.63348,0.49091,0.55474,0.28604,1.64691,1.73084,1.56893,0.001538,0.001538,0.001538
9,2205.32,1.44633,1.42363,1.36519,0.67986,0.4697,0.55007,0.29704,1.58124,1.661,1.50405,0.001472,0.001472,0.001472
10,2447.43,1.44756,1.3799,1.34259,0.74526,0.49645,0.60211,0.32668,1.59405,1.60028,1.50675,0.001406,0.001406,0.001406
11,2690.29,1.44539,1.35894,1.34847,0.67632,0.53939,0.61661,0.33347,1.51868,1.69585,1.47878,0.00134,0.00134,0.00134
12,2933.84,1.36804,1.31321,1.30368,0.60587,0.61212,0.63539,0.35436,1.52842,1.54885,1.49613,0.001274,0.001274,0.001274
13,3175.03,1.38856,1.27091,1.30096,0.68665,0.61212,0.66603,0.3681,1.51444,1.47748,1.44637,0.001208,0.001208,0.001208
14,3416.12,1.36777,1.18807,1.28006,0.76985,0.6,0.68157,0.39494,1.44903,1.37044,1.38606,0.001142,0.001142,0.001142
15,3658.32,1.32022,1.17085,1.2624,0.77081,0.63333,0.73799,0.43649,1.42139,1.27275,1.35499,0.001076,0.001076,0.001076
16,3899.57,1.30732,1.19332,1.26034,0.65107,0.59697,0.66141,0.39695,1.44206,1.38585,1.36054,0.00101,0.00101,0.00101
17,4144.58,1.33573,1.16748,1.26364,0.69625,0.63333,0.69593,0.40788,1.44047,1.61636,1.39284,0.000944,0.000944,0.000944
18,4395.95,1.29628,1.14344,1.25605,0.75769,0.60606,0.73282,0.44024,1.39788,1.23109,1.35694,0.000878,0.000878,0.000878
19,4667.36,1.25349,1.08144,1.24032,0.81131,0.66364,0.75615,0.46428,1.38852,1.1903,1.34007,0.000812,0.000812,0.000812
20,4923.74,1.25625,1.04108,1.22164,0.66613,0.69091,0.71179,0.43371,1.38391,1.25957,1.34531,0.000746,0.000746,0.000746
21,5170.13,1.25651,1.12151,1.24708,0.70683,0.62834,0.70065,0.42563,1.4371,1.32331,1.37918,0.00068,0.00068,0.00068
22,5413.35,1.17438,1.04145,1.17647,0.7996,0.61515,0.72557,0.43502,1.3888,1.28057,1.37082,0.000614,0.000614,0.000614
23,5659.55,1.15606,0.97494,1.17313,0.78103,0.65758,0.7439,0.46042,1.36555,1.18959,1.3445,0.000548,0.000548,0.000548
24,5898.3,1.12347,0.94259,1.16357,0.82674,0.64242,0.77205,0.46766,1.36004,1.11835,1.336,0.000482,0.000482,0.000482
25,6138.8,1.08977,0.90052,1.13983,0.78233,0.65347,0.74801,0.47101,1.31868,1.15349,1.31869,0.000416,0.000416,0.000416
26,6376.9,1.09475,0.86913,1.13618,0.76348,0.66061,0.73914,0.46787,1.31598,1.16021,1.30648,0.00035,0.00035,0.00035
27,6608.35,1.10093,0.86376,1.1424,0.7885,0.66667,0.75962,0.47961,1.31836,1.12225,1.30539,0.000284,0.000284,0.000284
28,6845.55,1.06987,0.83808,1.12415,0.74715,0.70303,0.77002,0.48147,1.32225,1.12359,1.30366,0.000218,0.000218,0.000218
29,7084.3,1.0358,0.98527,1.12915,0.79579,0.67273,0.77175,0.49826,1.30158,1.08298,1.30052,0.000152,0.000152,0.000152
30,7325.57,1.05641,0.81791,1.12505,0.83017,0.66061,0.77475,0.49772,1.29621,1.07516,1.29919,8.6e-05,8.6e-05,8.6e-05
